continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
North America,Bachelor's,Y,N,4849,West,16308.15,Year,Y,1,30
North America,Bachelor's,N,N,1599,Northeast,93.7639,Hour,Y,0,30
Europe,Bachelor's,Y,Y,43630,Northeast,47374.11,Year,Y,0,37
Asia,Bachelor's,Y,N,1016,South,93456.38,Year,Y,0,32
Asia,Master's,Y,N,3755,South,40.1191,Hour,Y,1,15
Asia,Bachelor's,Y,N,2834,Northeast,23613.52,Year,Y,0,24
Asia,Master's,N,N,2146,Northeast,248137.05,Year,Y,0,17
Asia,Bachelor's,Y,N,3206,Northeast,56992.74,Year,Y,1,29
Asia,Master's,Y,N,11658,South,127260.47,Year,Y,0,16
Asia,Master's,Y,N,3458,South,29668.82,Year,N,0,26
Asia,Master's,N,N,2428,West,73667.37,Year,Y,0,19
Asia,Bachelor's,Y,N,1994,Northeast,19787.53,Year,Y,0,132
North America,Master's,Y,N,2352,West,12668.49,Year,Y,0,61
Asia,Bachelor's,N,N,1918,Northeast,42855.55,Year,Y,1,16
Asia,Master's,Y,N,2418,West,123438.97,Year,N,0,17
Asia,Bachelor's,N,N,2007,West,20108.95,Year,Y,1,20
Asia,Master's,N,N,2625,Northeast,11018.75,Year,Y,0,29
Asia,Master's,Y,N,2810,Midwest,71659.81,Year,Y,0,26
Europe,Bachelor's,Y,N,9239,West,78101.27,Year,Y,1,186
Asia,Master's,Y,N,850,South,109.97,Hour,Y,0,22
Asia,Master's,N,N,834,South,130429.18,Year,N,0,17
North America,Master's,Y,N,930,South,51796.63,Year,Y,0,19
North America,Bachelor's,N,N,3456,Northeast,126744.96,Year,Y,1,31
North America,High School,N,N,4538,Island,46499.75,Year,Y,0,19
Asia,Master's,Y,N,1496,South,197705.25,Year,Y,0,37
Asia,Bachelor's,Y,N,1601,Midwest,113.49,Hour,Y,1,27
Asia,Master's,Y,N,4620,Northeast,199705.42,Year,N,0,24
Asia,Bachelor's,Y,N,3416,West,21393.35,Year,Y,1,141
Asia,Bachelor's,Y,N,327,Northeast,75659.68,Year,Y,0,14
Asia,Bachelor's,Y,N,2478,Northeast,38979.42,Year,Y,0,46
Asia,Master's,Y,N,2436,Northeast,155754.9,Year,N,0,18
Europe,Bachelor's,Y,N,223,Northeast,196.4283,Hour,Y,1,141
Asia,Master's,Y,Y,1349,West,14114.25,Year,Y,1,63
Asia,Master's,Y,N,22649,Midwest,98360.28,Year,N,0,8
Europe,Doctorate,Y,N,2329,West,78331.19,Year,Y,0,101
Asia,Doctorate,N,N,3388,West,46519.52,Year,Y,1,19
Asia,Bachelor's,Y,N,3571,South,147705.3,Year,Y,0,25
Asia,Doctorate,N,N,821,Midwest,120197.07,Year,Y,0,19
Asia,Master's,N,Y,927,Northeast,64357.58,Year,Y,0,49
North America,Master's,N,N,2832,Northeast,146435.45,Year,N,0,45
Asia,High School,Y,N,4688,Northeast,80917.1,Year,Y,1,58
Asia,Bachelor's,N,Y,1232,Midwest,85432.82,Year,Y,0,53
Asia,Bachelor's,Y,N,4636,West,46227.71,Year,Y,0,78
Asia,Master's,N,N,995,Northeast,63750.28,Year,Y,1,35
Europe,Doctorate,N,N,3009,Northeast,81812.39,Year,Y,0,11
Asia,Bachelor's,Y,N,4048,Midwest,36300.36,Year,Y,0,22
Asia,Bachelor's,N,N,543,Northeast,88883.53,Year,Y,1,206
Asia,Bachelor's,Y,N,1161,Island,90701.89,Year,Y,0,28
Asia,Master's,N,N,256640,West,22939.32,Year,Y,1,152
North America,Master's,Y,N,5171,South,6796.52,Year,N,0,162
Asia,High School,N,Y,3806,Midwest,74494.92,Year,Y,0,25
Asia,Bachelor's,N,N,772,West,62643.14,Year,Y,0,17
North America,Bachelor's,Y,N,31830,South,11973.58,Year,Y,0,48
Asia,Bachelor's,N,N,2099,Northeast,83255.98,Year,Y,1,92
Asia,Master's,Y,N,4513,West,94135.92,Year,Y,0,146
Asia,Master's,N,N,26737,Midwest,169059.04,Year,Y,0,153
Asia,Master's,N,N,2143,Northeast,124922.15,Year,N,0,17
Asia,Master's,Y,Y,988,Northeast,74497.73,Year,Y,1,21
Asia,Master's,Y,N,418,Midwest,100876.89,Year,Y,0,26
Asia,Master's,Y,N,1915,West,86111.13,Year,Y,0,10
North America,Master's,Y,N,5105,South,48590.17,Year,Y,0,55
Asia,Master's,Y,N,4072,South,133807.63,Year,Y,0,22
Asia,Master's,Y,N,789,Northeast,37197.27,Year,Y,0,11
Asia,Bachelor's,N,N,4790,West,64055.55,Year,Y,0,28
Europe,High School,N,Y,215,West,119481.36,Year,Y,1,63
Asia,Bachelor's,Y,N,2620,South,132627.97,Year,Y,1,36
Europe,Bachelor's,Y,N,327,Northeast,26874.27,Year,Y,0,157
Asia,Master's,Y,N,720,South,70151.27,Year,Y,0,15
North America,Doctorate,Y,N,17251,Northeast,373.9356,Hour,Y,1,20
North America,Bachelor's,Y,N,249,South,86805.62,Year,Y,1,21
South America,Bachelor's,Y,N,124,Northeast,95739.15,Year,Y,1,22
Asia,High School,Y,N,2932,Northeast,91941.08,Year,N,1,19
Asia,High School,Y,N,4382,West,25604.99,Year,N,1,50
Asia,Master's,Y,N,1751,Island,152281.71,Year,Y,0,16
Europe,High School,Y,N,1684,South,52818.02,Year,Y,1,157
Africa,Master's,N,N,2650,South,91790.23,Year,Y,1,35
Asia,Bachelor's,Y,N,4649,Northeast,34490.17,Year,Y,0,55
Asia,Bachelor's,N,N,2566,Northeast,124581.3,Year,Y,1,174
North America,Bachelor's,Y,N,70050,South,68174.39,Year,Y,1,156
